license_id	license_url	attribution	sharealike	noderivs	noncommercial
CC0	https://creativecommons.org/publicdomain/zero/1.0/	FALSE	FALSE	FALSE	FALSE
CC BY 1.0	https://creativecommons.org/licenses/by/1.0/	TRUE	FALSE	FALSE	FALSE
CC BY-SA 1.0	https://creativecommons.org/licenses/by-sa/1.0/	TRUE	TRUE	FALSE	FALSE
CC BY-ND 1.0	https://creativecommons.org/licenses/by-nd/1.0	TRUE	FALSE	TRUE	FALSE
CC BY-NC 1.0	https://creativecommons.org/licenses/by-nc/1.0	TRUE	FALSE	FALSE	TRUE
CC BY-NC-SA 1.0	https://creativecommons.org/licenses/by-nc-sa/1.0	TRUE	TRUE	FALSE	FALSE
CC BY-NC-ND 1.0	https://creativecommons.org/licenses/by-nc-nd/1.0	TRUE	FALSE	TRUE	TRUE
CC BY 2.0	https://creativecommons.org/licenses/by/2.0/	TRUE	FALSE	FALSE	FALSE
CC BY-SA 2.0	https://creativecommons.org/licenses/by-sa/2.0/	TRUE	TRUE	FALSE	FALSE
CC BY-ND 2.0	https://creativecommons.org/licenses/by-nd/2.0	TRUE	FALSE	TRUE	FALSE
CC BY-NC 2.0	https://creativecommons.org/licenses/by-nc/2.0	TRUE	FALSE	FALSE	TRUE
CC BY-NC-SA 2.0	https://creativecommons.org/licenses/by-nc-sa/2.0	TRUE	TRUE	FALSE	FALSE
CC BY-NC-ND 2.0	https://creativecommons.org/licenses/by-nc-nd/2.0	TRUE	FALSE	TRUE	TRUE
CC BY 2.5	https://creativecommons.org/licenses/by/2.5/	TRUE	FALSE	FALSE	FALSE
CC BY-SA 2.5	https://creativecommons.org/licenses/by-sa/2.5/	TRUE	TRUE	FALSE	FALSE
CC BY-ND 2.5	https://creativecommons.org/licenses/by-nd/2.5	TRUE	FALSE	TRUE	FALSE
CC BY-NC 2.5	https://creativecommons.org/licenses/by-nc/2.5	TRUE	FALSE	FALSE	TRUE
CC BY-NC-SA 2.5	https://creativecommons.org/licenses/by-nc-sa/2.5	TRUE	TRUE	FALSE	FALSE
CC BY-NC-ND 2.5	https://creativecommons.org/licenses/by-nc-nd/2.5	TRUE	FALSE	TRUE	TRUE
CC BY 3.0	https://creativecommons.org/licenses/by/3.0/	TRUE	FALSE	FALSE	FALSE
CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0/	TRUE	TRUE	FALSE	FALSE
CC BY-ND 3.0	https://creativecommons.org/licenses/by-nd/3.0	TRUE	FALSE	TRUE	FALSE
CC BY-NC 3.0	https://creativecommons.org/licenses/by-nc/3.0	TRUE	FALSE	FALSE	TRUE
CC BY-NC-SA 3.0	https://creativecommons.org/licenses/by-nc-sa/3.0	TRUE	TRUE	FALSE	FALSE
CC BY-NC-ND 3.0	https://creativecommons.org/licenses/by-nc-nd/3.0	TRUE	FALSE	TRUE	TRUE
CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	TRUE	FALSE	FALSE	FALSE
CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	TRUE	TRUE	FALSE	FALSE
CC BY-ND 4.0	https://creativecommons.org/licenses/by-nd/4.0	TRUE	FALSE	TRUE	FALSE
CC BY-NC 4.0	https://creativecommons.org/licenses/by-nc/4.0	TRUE	FALSE	FALSE	TRUE
CC BY-NC-SA 4.0	https://creativecommons.org/licenses/by-nc-sa/4.0	TRUE	TRUE	FALSE	FALSE
CC BY-NC-ND 4.0	https://creativecommons.org/licenses/by-nc-nd/4.0	TRUE	FALSE	TRUE	TRUE
Public domain		FALSE	FALSE	FALSE	FALSE